state,indicator_id,field,expected,got,match,pdf_url
Arunachal Pradesh,total_receipts,pct_prev,,3.28,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,be,,29963.33,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,actuals,,1277.37,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,pct_current,,4.26,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_expenditure,pct_prev,,4.16,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,interest_payments,be,994.31,994.31,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,interest_payments,actuals,213.52,213.52,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,interest_payments,pct_current,21.47,21.47,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,interest_payments,pct_prev,19.28,19.28,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,salaries_wages,be,875.09,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,salaries_wages,actuals,0.0,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,salaries_wages,pct_current,2794.81,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,salaries_wages,pct_prev,167.37,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,pension,be,2794.81,2794.81,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
